time,open,high,low,close,volume
2026-03-24 22:45:00,70247.96,70299.34,70197.35,70299.34,212
2026-03-24 22:50:00,70297.59,70358.87,70231.8,70296.53,227
2026-03-24 22:55:00,70296.42,70342.19,70273.77,70278.34,162
2026-03-24 23:00:00,70283.24,70327.69,70217.67,70280.27,273
2026-03-24 23:05:00,70282.0,70509.13,70238.75,70491.3,228
2026-03-24 23:10:00,70493.05,70558.23,70467.08,70495.42,219
2026-03-24 23:15:00,70499.47,70551.97,70465.67,70491.4,247
2026-03-24 23:20:00,70489.93,70677.18,70453.31,70513.78,382
2026-03-24 23:25:00,70511.41,70728.13,70490.32,70718.23,318
2026-03-24 23:30:00,70720.14,70806.05,70677.99,70710.84,380
2026-03-24 23:35:00,70711.94,70762.9,70673.98,70743.13,206
2026-03-24 23:40:00,70742.1,70761.55,70622.37,70622.64,208
2026-03-24 23:45:00,70623.63,70665.97,70530.55,70629.43,285
2026-03-24 23:50:00,70628.01,70628.01,70545.21,70557.98,176
2026-03-24 23:55:00,70559.22,70573.22,70502.75,70519.4,150
2026-03-25 00:00:00,70526.98,70601.21,70486.9,70584.83,280
2026-03-25 00:05:00,70589.86,70663.33,70519.47,70663.33,285
2026-03-25 00:10:00,70664.71,70721.82,70624.33,70688.35,287
2026-03-25 00:15:00,70687.22,70698.79,70535.68,70573.01,297
2026-03-25 00:20:00,70573.29,70602.92,70534.58,70577.11,193
2026-03-25 00:25:00,70577.27,70653.18,70577.27,70630.38,238
2026-03-25 00:30:00,70627.86,70823.66,70434.37,70763.54,631
2026-03-25 00:35:00,70767.93,70874.35,70748.08,70864.43,349
2026-03-25 00:40:00,70860.93,71028.83,70839.59,70896.02,423
2026-03-25 00:45:00,70888.12,70960.83,70833.88,70833.88,348
2026-03-25 00:50:00,70834.99,70861.67,70749.06,70841.26,324
2026-03-25 00:55:00,70841.34,70897.24,70790.92,70805.75,247
2026-03-25 01:00:00,70803.48,70853.57,70727.53,70783.85,374
2026-03-25 01:05:00,70781.65,70827.41,70662.53,70792.38,343
2026-03-25 01:10:00,70799.33,70951.88,70769.07,70769.07,315
2026-03-25 01:15:00,70774.01,70792.38,70676.5,70692.78,256
2026-03-25 01:20:00,70696.92,70813.9,70694.23,70696.19,313
